index:ID,director,:LABEL
2000,拜恩·霍华德,director
2001,罗杰·艾勒斯,director
2002,杨德昌,director
2003,李安,director
2004,克林特·伊斯特伍德,director
2005,中岛哲也,director
2006,乔纳森·戴米,director
2007,爱德华·兹威克,director
2008,史蒂文·斯皮尔伯格,director
2009,陈凯歌,director
2010,路易·西霍尤斯,director
2011,罗伯托·贝尼尼,director
2012,奥利维·那卡什,director
2013,费尔南多·梅里尔斯,director
2014,昆汀·塔伦蒂诺,director
2015,克里斯托弗·诺兰,director
2016,尼特什·提瓦瑞,director
2017,拉库马·希拉尼,director
2018,亚当·艾略特,director
2019,黄东赫,director
2020,彼得·威尔,director
2021,梅尔·吉布森,director
2022,肯尼·奥特加,director
2023,克里斯托夫·巴拉蒂,director
2024,莱塞·霍尔斯道姆,director
2025,让-皮埃尔·热内,director
2026,吕克·贝松,director
2027,奉俊昊,director
2028,弗朗西斯·福特·科波拉,director
2029,黑泽明,director
2030,米洛斯·福尔曼,director
2031,岩井俊二,director
2032,刘伟强,director
2033,彼得·杰克逊,director
2034,凯文·科斯特纳,director
2035,西恩·潘,director
2036,维克多·弗莱明,director
2037,蒂姆·波顿,director
2038,詹姆斯·麦克提格,director
2039,罗伯特·怀斯,director
2040,马丁·布莱斯特,director
2041,罗曼·波兰斯基,director
2042,马丁·斯科塞斯,director
2043,赛尔乔·莱昂内,director
2044,彼特·道格特,director
2045,彼得·索恩,director
2046,西德尼·吕美特,director
2047,威廉·惠勒,director
2048,盖·里奇,director
2049,朱塞佩·托纳多雷,director
2050,王家卫,director
2051,罗伯特·泽米吉斯,director
2052,詹姆斯·卡梅隆,director
2053,理查德·林克莱特,director
2054,大卫·芬奇,director
2055,加布里尔·穆奇诺,director
2056,弗兰克·德拉邦特,director
2057,罗伯·莱纳,director
2058,雅克·贝汉,director
2059,朗·霍华德,director
2060,阿斯哈·法哈蒂,director
2061,阿尔弗雷德·希区柯克,director
2062,朴赞郁,director
2063,莉莉·沃卓斯基,director
2064,安德鲁·斯坦顿,director
2065,弗洛里安·亨克尔·冯·多纳斯马,director
2066,达伦·阿罗诺夫斯基,director
2067,杰拉尔·乌里,director
2068,李·昂克里奇,director
2069,文牧野,director
2070,里奇·摩尔,director
2071,宫崎骏,director
2072,张艺谋,director
2073,迈克尔·柯蒂斯,director
2074,大卫·耶茨,director
2075,姜文,director
2076,迪恩·德布洛斯,director
